,SPEED
299,-3.5942776
304,-0.11144460000000045
305,-0.20987880000000025
306,-0.5810784999999994
307,-0.5053917000000006
308,-0.5377879999999999
309,-4.268966
312,-1.0470659000000002
322,-2.520353
323,-3.2891749999999966
324,-3.488811000000002
334,-1.725080000000002
335,-0.9927799999999998
336,-1.7935920000000003
337,-0.6852020000000003
338,-1.8494719999999987
339,-8.135663
342,-1.8018796999999998
343,-5.119803999999999
344,-0.2983450000000001
345,-1.6704073
347,-1.9963385
354,-0.8653830000000013
355,-1.0313610000000004
356,-0.02452999999999861
358,-0.30763100000000065
374,-0.5868699999999976
375,-0.7757229999999993
376,-0.40226700000000193
377,-0.5771949999999997
378,-0.4205299999999994
379,-2.94163
381,-3.9170149999999992
382,-5.290365000000001
383,-5.181336
384,-1.2629009999999994
385,-0.9889920000000014
386,-1.1782459999999997
387,-2.7019539999999997
388,-2.17558
389,-1.3618259999999998
395,-0.5773031999999994
396,-2.1773160000000003
397,-0.7778634000000002
398,-1.4677048
399,-2.1588778
405,-0.5428563999999998
406,-0.1306510000000003
412,-1.1875215
415,-0.20519070000000017
416,-0.2504989999999996
417,-1.7977620000000005
419,-1.9048361999999996
423,-0.27626930000000005
424,-0.48062329999999953
425,-0.5592054000000006
427,-1.3085768
434,-0.8161439999999995
435,-1.6445166999999996
437,-0.5688139999999997
438,-0.3035565000000009
439,-1.933329099999999
441,-1.8781957
442,-0.03680699999999959
444,-0.07705129999999993
446,-1.8829905999999998
447,-0.41132690000000016
451,-0.3709024000000003
452,-0.11383719999999986
453,-0.7107659000000002
454,-1.3960114999999993
455,-0.15445740000000008
456,-2.3151708000000006
458,-0.06033889999999986
459,-0.4649591000000002
460,-1.3501168
472,-1.5717059999999998
473,-0.7696000000000005
476,-1.7538982
477,-1.8684907000000002
478,-0.45755493
479,-0.78571117
487,-1.9684578999999998
489,-1.6367574000000003
495,-1.9221414
498,-0.027447999999999695
501,-0.03693299999999944
504,-0.6899240000000013
506,-0.5455670000000001
507,-0.02225499999999947
509,-0.9187076000000003
510,-1.6213568999999994
511,-0.038181800000000266
513,-0.07630750000000042
515,-4.252592999999999
517,-1.4816535999999996
518,-1.0622103000000003
519,-1.5063847
551,-0.8733199999999997
552,-0.5641080000000009
553,-2.522992999999998
554,-2.0509840000000015
555,-1.8302049999999994
556,-0.1503540000000001
561,-0.028434999999999988
562,-2.0237689999999997
563,-3.0477940000000014
568,-0.7501119999999997
582,-0.4852739999999969
583,-1.661411000000001
584,-1.3977199999999996
585,-2.889375000000001
586,-8.760843999999999
587,-9.398564
589,-6.334249
590,-4.510597000000001
591,-3.213234
596,-0.13287799999999805
597,-0.8667920000000002
598,-1.618459999999999
603,-4.355627000000002
604,-6.434932999999999
605,-6.5908798
607,-1.8699402
609,-0.58865756
615,-2.363832
618,-2.2096632
628,-1.4235094999999998
629,-0.7841795000000005
630,-5.777265000000001
632,-1.9318101999999997
633,-3.4759178
651,-1.0801301000000003
652,-3.1050076
745,-0.1327430000000014
746,-0.13689399999999985
747,-0.9912194999999997
748,-1.0652790000000003
749,-9.8869505
763,-0.38318800000000053
764,-0.08253599999999928
779,-1.153541999999998
780,-3.2262710000000006
781,-3.383023999999999
782,-2.379043000000003
783,-2.8215179999999975
784,-7.027212500000001
786,-4.2996211
787,-5.5031934
873,-3.3886509999999994
874,-1.9820199999999986
875,-0.38583500000000015
880,-1.771367999999999
881,-2.8954350000000026
882,-3.753468999999999
884,-2.0430889999999984
885,-1.8377445000000012
886,-1.9454094999999993
887,-6.499697
1012,-0.20511300000000077
1023,-0.3181490000000018
1024,-2.191655000000001
1025,-0.769778999999998
1037,-0.6874789999999997
1038,-0.431595999999999
1039,-2.2353880000000004
1040,-2.61533
1041,-6.119361999999999
1042,-2.8101350000000007
1044,-2.4142069999999993
1045,-2.260631
1046,-7.888192
1051,-2.3109160000000006
1052,-3.4563559999999995
1053,-1.7123833
1054,-0.5085687000000001
1055,-3.184543
1138,-0.010944999999999538
1139,-0.1115300000000019
1141,-1.0721689999999988
1142,-4.2638560000000005
1144,-3.1439809999999984
1145,-2.5091680000000007
1146,-1.6031700000000004
1147,-1.2844179999999987
1150,-0.3366319999999998
1151,-1.9427629999999994
1152,-2.2716393000000004
1153,-6.9599557
1159,-2.644107
1164,-0.6132550000000005
1165,-3.9217239999999993
1166,-2.849716000000001
1167,-2.0717673999999997
1168,-3.9618256
1210,-1.9552189999999996
1211,-2.0049453
1212,-4.1310277
1291,-1.6261956999999994
1292,-2.7779778999999998
1293,-1.2017069000000005
1294,-2.8922925
1296,-2.3515167
1325,-0.48292567
1327,-0.21725856
1333,-0.20890961000000002
1334,-0.22629209
1496,-0.21760400000000146
1500,-0.2056350000000009
1504,-0.1572090000000017
1505,-0.23204999999999742
1506,-0.20028100000000038
1507,-0.9028890000000018
1509,-0.3096350000000001
1514,-0.03965200000000024
1515,-2.014683999999999
1517,-0.3586330000000011
1518,-1.4838129999999978
1519,-1.9991340000000015
1520,-1.8834899999999983
1521,-2.055594000000001
1522,-2.6144339999999993
1523,-2.6126130000000005
1524,-1.8174815000000004
1525,-5.1187735
1529,-0.085986294
1538,-1.294098
1540,-0.47016299999999944
1541,-1.7652355000000002
1542,-0.6505915
1543,-2.0039856999999994
1544,-3.2745126000000004
1545,-1.2750154999999999
1547,-0.66712725
1562,-0.09606371999999999
1563,-0.11557814
1578,-1.0142431000000003
1579,-2.4712522
1698,-0.07751900000000056
1703,-0.609576999999998
1707,-3.182366
1708,-2.869472
1709,-2.72518
1710,-0.08136700000000019
1711,-0.14216300000000004
1724,-0.10518499999999875
1728,-1.7241069999999965
1729,-0.36123500000000064
1730,-0.3852940000000018
1731,-2.2405679999999997
1733,-2.3840830000000004
1734,-2.671130999999999
1735,-4.22724
1736,-3.582579000000001
1737,-1.8794489999999993
1738,-1.9073859999999998
1739,-3.1980406000000006
1742,-1.0005130999999996
1743,-3.3698215
1992,-0.5026010000000021
1993,-0.20748700000000042
1995,-0.18706399999999945
1996,-0.454228999999998
1997,-0.5184440000000023
1998,-0.7749829999999989
1999,-1.0613039999999998
2000,-0.3477080000000008
2001,-1.6208909999999985
2002,-1.1337740000000007
2003,-1.2480349999999998
