,acceleration,SPEED,Frequency
100,-4.6,3.0,2.9990171792272646e-06
101,-4.6,4.0,8.568620512077899e-07
102,-4.6,6.0,1.2852930768116849e-06
103,-4.6,7.0,4.2843102560389494e-07
104,-4.5,1.0,1.8850965126571378e-05
105,-4.5,2.0,1.7565672049759693e-05
106,-4.5,3.0,2.5705861536233697e-06
107,-4.5,6.0,8.568620512077899e-07
108,-4.5,7.0,4.2843102560389494e-07
109,-4.4,1.0,2.1849982305798643e-05
110,-4.4,2.0,2.1849982305798643e-05
111,-4.4,3.0,5.998034358454529e-06
112,-4.4,4.0,8.568620512077899e-07
113,-4.4,5.0,4.2843102560389494e-07
114,-4.4,6.0,8.568620512077899e-07
115,-4.4,7.0,4.2843102560389494e-07
116,-4.3,1.0,1.4138223844928534e-05
117,-4.3,2.0,2.3563706408214223e-05
118,-4.3,3.0,2.9990171792272646e-06
119,-4.3,4.0,4.2843102560389494e-07
120,-4.3,5.0,4.2843102560389494e-07
121,-4.3,6.0,4.2843102560389494e-07
122,-4.3,7.0,4.2843102560389494e-07
123,-4.2,1.0,3.984408538116223e-05
124,-4.2,2.0,3.1703895894688227e-05
125,-4.2,3.0,6.426465384058424e-06
126,-4.2,4.0,4.2843102560389494e-07
127,-4.2,5.0,1.2852930768116849e-06
128,-4.2,6.0,4.2843102560389494e-07
129,-4.2,7.0,8.568620512077899e-07
130,-4.1,1.0,2.5277430510629802e-05
131,-4.1,2.0,3.555977512512328e-05
132,-4.1,3.0,5.569603332850634e-06
133,-4.1,4.0,4.2843102560389494e-07
134,-4.1,5.0,8.568620512077899e-07
135,-4.1,6.0,4.2843102560389494e-07
136,-4.0,1.0,2.5277430510629802e-05
137,-4.0,2.0,2.5705861536233696e-05
138,-4.0,3.0,7.71175846087011e-06
139,-4.0,4.0,2.142155128019475e-06
140,-4.0,5.0,1.7137241024155797e-06
141,-4.0,6.0,1.7137241024155797e-06
142,-4.0,7.0,4.2843102560389494e-07
143,-3.9,1.0,4.669898179082455e-05
144,-3.9,2.0,4.7984274867636234e-05
145,-3.9,3.0,8.140189486474004e-06
146,-3.9,4.0,8.568620512077899e-07
147,-3.9,5.0,3.855879230435055e-06
148,-3.9,6.0,1.7137241024155797e-06
149,-3.9,7.0,8.568620512077899e-07
150,-3.8,1.0,3.941565435555833e-05
151,-3.8,2.0,4.669898179082455e-05
152,-3.8,3.0,1.1996068716909058e-05
153,-3.8,4.0,2.142155128019475e-06
154,-3.8,5.0,1.7137241024155797e-06
155,-3.8,6.0,2.142155128019475e-06
156,-3.8,7.0,1.2852930768116849e-06
157,-3.7,1.0,3.127546486908433e-05
158,-3.7,2.0,3.298918897149991e-05
159,-3.7,3.0,8.140189486474004e-06
160,-3.7,4.0,1.2852930768116849e-06
161,-3.7,5.0,1.2852930768116849e-06
162,-3.7,6.0,2.9990171792272646e-06
163,-3.7,7.0,4.2843102560389494e-07
164,-3.7,22.0,4.2843102560389494e-07
165,-3.6,1.0,5.184015409807129e-05
166,-3.6,2.0,6.383622281498035e-05
167,-3.6,3.0,1.0282344614493479e-05
168,-3.6,4.0,3.4274482048311595e-06
169,-3.6,5.0,2.5705861536233697e-06
170,-3.6,6.0,3.4274482048311595e-06
171,-3.6,7.0,1.7137241024155797e-06
172,-3.5,1.0,3.127546486908433e-05
173,-3.5,2.0,3.38460510227077e-05
174,-3.5,3.0,7.283327435266214e-06
175,-3.5,4.0,8.568620512077899e-07
176,-3.5,5.0,4.28431025603895e-06
177,-3.5,6.0,2.5705861536233697e-06
178,-3.5,22.0,4.2843102560389494e-07
179,-3.5,38.0,4.2843102560389494e-07
180,-3.4,1.0,6.469308486618813e-05
181,-3.4,2.0,6.255092973816866e-05
182,-3.4,3.0,1.6708809998551905e-05
183,-3.4,4.0,2.9990171792272646e-06
184,-3.4,5.0,4.28431025603895e-06
185,-3.4,6.0,4.28431025603895e-06
186,-3.4,7.0,8.568620512077899e-07
187,-3.4,12.0,4.2843102560389494e-07
188,-3.4,33.0,4.2843102560389494e-07
189,-3.3,1.0,4.584211973961676e-05
190,-3.3,2.0,6.554994691739593e-05
191,-3.3,3.0,6.426465384058424e-06
192,-3.3,4.0,8.568620512077899e-07
193,-3.3,5.0,2.5705861536233697e-06
194,-3.3,6.0,2.142155128019475e-06
195,-3.3,7.0,4.2843102560389494e-07
196,-3.3,19.0,4.2843102560389494e-07
197,-3.3,24.0,4.2843102560389494e-07
198,-3.2,1.0,5.184015409807129e-05
199,-3.2,2.0,7.668915358309719e-05
200,-3.2,3.0,1.4995085896136323e-05
201,-3.2,4.0,1.7137241024155797e-06
202,-3.2,5.0,1.2852930768116849e-06
203,-3.2,6.0,2.9990171792272646e-06
204,-3.2,7.0,1.2852930768116849e-06
205,-3.2,34.0,4.2843102560389494e-07
206,-3.1,1.0,7.197641230145435e-05
207,-3.1,2.0,9.468325665846079e-05
208,-3.1,3.0,1.9707827177779166e-05
209,-3.1,4.0,2.9990171792272646e-06
210,-3.1,5.0,4.7127412816428446e-06
211,-3.1,6.0,3.855879230435055e-06
212,-3.1,7.0,4.2843102560389494e-07
213,-3.1,21.0,4.2843102560389494e-07
214,-3.1,26.0,4.2843102560389494e-07
215,-3.1,37.0,4.2843102560389494e-07
216,-3.0,1.0,4.969799897005182e-05
217,-3.0,2.0,7.497542948068162e-05
218,-3.0,3.0,8.997051537681793e-06
219,-3.0,4.0,2.9990171792272646e-06
220,-3.0,5.0,2.9990171792272646e-06
221,-3.0,6.0,2.9990171792272646e-06
222,-3.0,7.0,2.142155128019475e-06
223,-3.0,22.0,4.2843102560389494e-07
224,-3.0,29.0,4.2843102560389494e-07
225,-3.0,34.0,4.2843102560389494e-07
226,-2.9,1.0,6.383622281498035e-05
227,-2.9,2.0,9.896756691449974e-05
228,-2.9,3.0,1.71372410241558e-05
229,-2.9,4.0,2.5705861536233697e-06
230,-2.9,5.0,4.28431025603895e-06
231,-2.9,6.0,2.5705861536233697e-06
